Tweets,id,len,date,time,source,likes,retweets
@SachinBHILARE6 We have intimated your concern to Goregaon/Malad traffic branch for necessary action.,1578279964906237952,101,2022-10-07,07:04:01,Twitter Web App,3,0
@KuturAbhishek We request you file a grievance on the #Mumtrafficapp for a swift resolution.,1578279757678280704,92,2022-10-07,07:03:11,Twitter Web App,0,0
@DivechaNaheed We have intimated your concern to the traffic branch for necessary action.,1578278654047813632,89,2022-10-07,06:58:48,Twitter Web App,1,0
@Prashan98678133 We have escalated your request with Dindoshi Traffic Division for necessary action.,1578278111187439616,100,2022-10-07,06:56:39,Twitter Web App,0,0
@advsiddharthss We are sharing your concern with Matunga Traffic Division for necessary stringent action.,1578277209546326016,105,2022-10-07,06:53:04,Twitter Web App,0,1
@Pandemic_trader We have informed the concern Traffic Division of the necessary action.,1578274085800644608,87,2022-10-07,06:40:39,Twitter Web App,3,0
@ZahidFKhambatti We have escalated your request with Jogeshwari/MIDC Traffic Division for necessary action.,1578273964379738112,107,2022-10-07,06:40:10,Twitter Web App,0,0
@drushticone We have escalated your request with Borivali Traffic Division for necessary action.,1578272728012197889,96,2022-10-07,06:35:15,Twitter Web App,0,0
@krish15136860 We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578272232593588224,95,2022-10-07,06:33:17,Twitter Web App,0,0
@ChetanR71663413 We have escalated your request with Bandra Traffic Division for necessary action.,1578271091252162560,98,2022-10-07,06:28:45,Twitter Web App,4,0
@Luftstretkrafte We have intimated your concern to Chembur traffic branch for necessary action.,1578263576678379520,95,2022-10-07,05:58:54,Twitter Web App,0,0
@Luftstretkrafte Chembur Traffic Division has been informed for prompt action.,1578262504941432832,78,2022-10-07,05:54:38,Twitter Web App,0,0
@DivechaNaheed Please provide the exact location for necessary action.,1578262356697976832,70,2022-10-07,05:54:03,Twitter Web App,0,0
@Luftstretkrafte We have forwarded your concern to Chembur Traffic Division for necessary action.,1578261577085878272,97,2022-10-07,05:50:57,Twitter Web App,0,0
@Luftstretkrafte We have escalated your request with Chembur Traffic Division for necessary action.,1578261353349120000,99,2022-10-07,05:50:03,Twitter Web App,0,0
